type_,desc_type,nom_res,wdpaid,statu_crea,statu_amgt,date_prop,date_amgt,date_crea,last_edited_date,last_edited_user,created_user,created_date,objectid,globalid,sup_mar_ha,sup_adm_ha,sup_sig_ha,shape_Length,shape_Area
4100110,Forêt de protection,Bafut Ngemba N.A,478176,cree,,,,1953/01/01 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,40,{CAA527A1-A59E-4E45-ABEE-37919D0C60D5},0,3248,3685,0.361383594109227,0.00300992634834021
4100110,Forêt de protection,Ma'an/Boucles du Ntem,146629,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,41,{657ED4D9-717F-4599-A55A-D1F745978917},0,,12084,0.716750004512719,0.00982587696238739
4100110,Forêt de protection,Meme River,478172,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,42,{885CA005-FF54-433E-B57D-F4E1D6D150C1},0,,4866,0.355132928700312,0.00396832319313612
4100110,Forêt de protection, ,,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,43,{BEBD075E-DAD5-41CF-9E8F-0A08219B7177},0,,3513,0.366024709727115,0.00285535609696879
4100110,Forêt de protection,Muyuka-Kompina,478174,cree,,,,1932/08/15 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,44,{50C22F29-C9BF-4379-A24E-F2CF3E64384B},0,3000,4893,0.274809868703784,0.00398935370724095
4100110,Forêt de protection,Metchie-Ngoum,478182,cree,,,,1947/07/29 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,45,{F904066A-62D7-479C-937C-50146A0E7822},0,6500,9841,0.485571628121678,0.00803105865733085
4100110,Forêt de protection,Mont Bamboutos,478179,cree,,,,1948/10/10 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,46,{855533E8-BF9C-4DA2-AD07-EA22FDEBA747},0,200,215,0.0518012287805173,0.000175974565016951
4100110,Forêt de protection,Bafia,1627,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,47,{A0A073DA-C405-49FD-A470-974C5A3F6F1E},0,,6043,0.506692894040777,0.0049201457288255
4100110,Forêt de protection,Bangombe,478187,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,48,{AF5DA8A3-0E4F-44E2-9C3C-1EAB63E4B119},0,,368,0.0778203151557087,0.00030013075688363
4100110,Forêt de protection, ,,cree,,,,,2021/11/10 09:17:22+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,49,{D647830A-F8CC-409B-9482-2999A6356832},0,,6653,0.361143643754634,0.00542206225137264
4100110,Forêt de protection,Bakossi,555547998,cree,,,,1956/07/09 00:00:00+00,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,50,{89485A1E-2E29-4BB0-A8C6-B3340A7071E7},0,,5100,0.494702121793403,0.00415979106920696
4100110,Forêt de protection, ,,cree,,,,,2021/11/10 09:17:22+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,51,{796331F3-0C09-455C-9BF4-27E4EE82E90C},0,,3888,0.32486589496265,0.00316230024016333
4100110,Forêt de protection,Kalfou,,cree,,,,,2021/11/10 09:17:22+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,52,{33B1FF6F-A350-4EE1-B8CB-F4A6D18C585D},0,11427,11429,0.398939668416906,0.0094403393916119
4100110,Forêt de protection,Lac Njambo,,cree,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,53,{906A0AC0-BB0F-4173-8C3D-F563FE38A924},0,,2048,0.175092340649853,0.00166821886018758
4100110,Forêt de protection,Koboungunda,,cree,,,,,2021/11/10 09:17:22+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,54,{FECC655C-4FD9-4AC6-BA92-DB0659CF20FC},0,,7470,0.426937425128328,0.00608944639511011
4100110,Forêt de protection,BAZZAMA,,,,,,,2021/11/10 09:17:22+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,61,{1E668E2C-3A1D-4551-BC1B-F630D6EE760C},20200,,21399,0.525779397156827,0.0174435778766396
4100110,Périmètre de reboisement,PLAINE DU NOUN,0,cree,amenge,,2020/06/01 00:00:00+00,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/06/03 12:50:16+00,69,{9F06D34F-78D8-4EE3-82FE-7B4DBE156CA6},,1400,1402,0.271506780836386,0.00114347004266847
4100110,Forêt de protection,Malap Njibanchi,478178,cree,amenge,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/11/27 13:57:16+00,82,{1B60EFA3-4723-421D-8C4A-7B134DE51CF2},0,,1666,0.215355856823793,0.00135957700879402
4100400,Forêt d'enseignement et de recherche,ENEF Mbalmayo,,en_cours,,,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2020/12/18 11:51:55+00,482,{4B14DDD2-79BB-4766-AE33-607490FA254A},,1009,1008,0.145655561310791,0.0008198455610169
4100610,Périmètre de reboisement,Reboisement Commune de Mbalmayo,,en_cours,,2020/08/06 00:00:00+00,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2021/04/07 13:33:59+00,1683,{F00BECA6-7C48-4944-B072-3C271EB91B52},,5459,5422,0.562523855332352,0.00440773971607697
4100400,Forêt d'enseignement et de recherche,IRAD,,en_cours,,2020/08/06 00:00:00+00,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2021/04/07 13:34:31+00,1684,{3E8F9E8A-37DF-4D9C-864C-F169FB192A13},,1000,1441,0.192696941118202,0.00117172135625547
4100500,Forêt de récréation,Ecotourisme et reboisement Commune de Mengueme,,en_cours,,2020/08/06 00:00:00+00,,,2021/11/10 09:18:00+00,KEVIN,KEVIN,2021/04/07 13:35:09+00,1685,{33B74AD3-5E99-4E24-9EB7-7F3E05CD6C7B},3560,,3550,0.284369024821726,0.00288563816979271
4100400,Forêt d'enseignement et de recherche,Forêt d'enseignement Universite de Dschang,,cree,non_amenage,,,2016/04/19 00:00:00+00,2021/11/10 09:17:22+00,KEVIN,KEVIN,2021/05/05 11:48:29+00,2083,{2F177CDF-F239-4F52-AE18-FCBA011F83A5},,2400,2413,0.189014570950292,0.00196727622852017
