"iso","umd_tree_cover_gain__ha","umd_tree_cover_extent_2000__ha"
"MAC",6.78150295188585026,3412.78642429264733266
"MAF",24.31125724492297134,5616.34278553866231549
"MAR",81645.78759483339254943,41348767.35080063537716787
"MCO",0.33567793345052084,235.297484478532994066
"MDA",36546.3619016390953181,3390780.83907752630986415
"MDG",173321.89871404453063845,59144707.32516429552613536
"MDV",31.49006502178276796,27912.71303579206648584
"MEX",1423107.45321750165522967,195185464.54581908006673351
"MKD",12568.27414856704981001,2482514.95761457541609613
"MLI",203580.14219867480996731,125119256.16729595320381436
"MLT",11.26710014282118192,32334.79077928862674368
"MMR",636627.02667951714191566,66929667.32947902973298793
"MNE",9784.04870442049703124,1333523.258734743355643304
"MNG",78600.815627036650561985,156624744.504992787182316295
"MOZ",583188.46153004127681609,78729716.65135497302636492
"MRT",711.41649652089066326,104117150.64117235504798802
"MSR",249.90124572799260643,10061.82207914754541406
"MTQ",678.09978795636676666,111787.95517227543564837
"MUS",0.0,191366.76446960787449240
"MWI",41602.13901933627872904,11802885.39490325180935862
"MYS",1004944.63015623012330986,32938348.75983493813963988
"MYT",249.09055181689278313,39165.17965126959574644
"NAM",15114.36772122351927810,82385622.18475076089589912
"NCL",1854.90601037851719441,1882559.40746858936502895
"NER",5781.69425133672204288,118366970.16952214052406920
"NFK",0.0,4062.59887483270603
"NGA",927800.63884119225160928,90840998.02040036790081074
"NIC",142444.73111873720247780,12821978.47609587571737933
"NLD",60819.453515602875082425,3766566.364398857143179429
"NOR",476523.096905705957877136,32512221.025826401189045151
"NPL",174007.64751295152733530,14766249.54441011535716232
"NRU",0.0,2215.23352633937021
"NZL",434874.566806696297743195,26716575.124389505879523844
"OMN",1548.26885274103927873,30933274.08645130983764667
"PAK",133480.85229940263308906,87417630.59556675599829228
"PAN",84108.66154540956542682,7510419.90445371682990563
"PER",430186.26203671674442229,129281868.51759558816007068
"PHL",172161.29730404573019186,29585658.16289540696948985
"PLW",135.28405934021321511,48743.20538078760724195
"PNG",266144.89986407207443883,46363061.21418284129575650
"POL",892072.30041273953899112,31239917.800095097101528040
"PRI",7140.67270191118167002,897037.27464475731675230
"PRK",288491.652592703116729569,12275519.138588504590799159
"PRT",168606.877363079694638007,8955505.678182388071964681
"PRY",642487.58238080454631169,39958667.52153063888374482
"PSE",1697.12868418471196459,621996.68332007955174052
"QAT",37.96315468056859050,1162493.79962663976931718
"REU",0.0,251271.1050147099988265
"ROU",223889.81088406383538824,23833793.63877934181862804
"RUS",37220539.178897964356355711,1689423579.221007546773157650
"RWA",16061.38518342748959712,2527769.91218281853903103
"SAU",7598.97211793814539041,191598433.63239187767378250
"SDN",213485.82735012254224552,187102828.82492713236608319
"SEN",77187.31442563115753351,19688982.71259497548684585
"SGP",1976.96960527273229632,69703.69605878577690982
"SJM",0.0,5442472.3736775590208
"SLB",4916.63294620979638891,2853324.00584823645671469
"SLE",102136.73155822499818563,7260135.88614697741306686
"SLV",14647.37595586827284472,2042272.85894923586365014
"SMR",19.1228409504709207,6122.3529601870844474
"SOM",4188.83161384898157804,63353849.52120376353420614
"SPM",31.72227115641059285,22663.41677143500404799
"SRB",76226.611389555825009079,7823140.491428801079575389
"SSD",1078584.02677417500912765,62617136.13477864716909495
"STP",0.0,100217.9877254047366854
"SUR",23723.90906661349832291,14642556.86529184757944265
"SVK",35796.771920605704014974,4909915.804720809407779824
"SVN",7767.574300407008961486,1998090.785493050963967142
"SWE",1671285.358177359501805263,45004558.106550207414784168
"SWZ",23455.06045134040560163,1738333.06301438700024127
"SXM",16.48019212719292746,3801.38751521774388746
"SYC",1.44203420977484809,20267.93208729000032230
"SYR",5710.70335158107288693,18691798.39213464953114785
"TCA",63.76660102721353992,99152.01584846005475720
"TCD",256621.77792954619419025,126995174.50107358835556407
"TGO",47915.66471573485831437,5699519.20201705750811993
"THA",1842370.57709205794674099,51405448.59427819604008831
"TJK",19711.959121709399610205,14211295.405720237627411645
"TKM",419.046649561148071106,48959209.554215377152506916
"TLS",11133.81520283900946560,1491565.39233701460222772
"TTO",3320.42459689641501148,515899.59454437345593431
"TUN",10133.394794310753003274,15486458.270953174303790794
"TUR",473795.005441811381420065,78070340.890013008512821023
"TUV",0.0,49.9008349886126798
"TWN",29314.53569833730391169,3640651.39732427798961811
"TZA",557235.92354902487512840,94057690.73100820111932868
"UGA",185026.62413671619243443,24143952.93930384176129100
"UKR",925216.21726064109890349,59933686.795344893990832149
"UMI",4.458698645033634,541.6797628049934018
"URY",654495.29825661187957539,17746574.34434756057211707
"USA",13986699.785170797288646545,947295610.248262005412415212
"UZB",43149.05843603094111563,44755388.10019573650322443
"VAT",0.057600842180989584,52.878039684036383584
"VCT",126.81963699811632475,39788.97162863019997420
"VEN",491357.39952645134924902,91249225.52623496521976161
"VGB",23.89673458256292901,16932.04449944593100222
"VIR",209.24081167112188026,36213.91572681749359897
"VNM",1004758.62532272552473341,32927599.94752510931357925
"VUT",302.55253250262154980,1231886.10315650549359175
"XAD",41.99967457316406877,23448.38132255780576553
"XCA",300.24272628830722241,37158133.71155851094019768
"XCL",0.0,1008.639098371928953
"XKO",9293.195551734041080286,1091976.447946004210057936
"XNC",1628.39062103368656123,331406.91415758923716749
"XPI",0.0,1969.212716115983671
"XSP",0.0,188.15293746538872
"YEM",7046.67695153341707914,45220898.29137352000714786
"ZAF",388240.89605188355316222,121971018.80353808695772394
"ZMB",768156.81122546349900912,75049201.88692538985848283
"ZWE",151989.06844558743645968,39068111.13497704330922680
