"iso","umd_tree_cover_extent_2000__ha","area__ha"
"CMR",31459332.15238566669528001,46604005.88968936059522622
"COD",199281686.52502361974473777,232912780.76088124983632711
"COG",26388373.13191860356277913,34173222.79362323495896905
"COL",81801036.05465139403905279,113675874.94466156011328114
"COM",134784.16599876573632699,167304.82830115374948788
"CPV",7355.95390616581286354,409097.90660205253049731
"CRI",3913048.86417335952072901,5117666.97282909019434650
"CUB",4014607.41507626392731142,11073121.95109024895165761
"CUW",5260.66776782055390963,43776.98739261728699230
"CYM",13458.39070137771043097,28039.82870751737494366
"CYP",89657.93337912588417747,571955.85590309975718956
"CZE",3080384.407604681602995746,7883558.885974188272449521
"DEU",12526779.901288924085717991,35783855.986941678855786591
"DJI",0.07522455290690104,2186335.76499683080131122
"DMA",70924.82619292602662919,75428.07801474695558906
"DNK",663203.697841328535922868,4314471.770574933235670604
"DOM",2576426.46692116632955011,4809195.18837629849731341
"DZA",1223621.290838993181047631,230804377.307476886462878431
"ECU",19027558.83812906815899334,25611545.43210307400094998
"EGY",154304.25470168082423286,98376439.43319320363236410
"ERI",4.60761319908799928,12045733.19758741137984877
"ESH",0.0,26732059.55215975154277544
"ESP",11018923.060405337378997457,50604278.841079100419482843
"EST",2639428.801214092797145607,4548974.01267697866490174
"ETH",12040336.15060717288077230,112951806.95088439872844714
"FIN",21627651.620614353341512184,33693917.990935515633435973
"FJI",1556559.24283949783740452,1808230.97430807429345593
"FLK",2188.35746794300830135,1239764.46349397841545140
"FRA",16783020.102675343488402640,54951497.53228062206270919
"FRO",0.0,143971.29834117758243
"FSM",6171.71774539861952330,10266.94449256166772127
"GAB",24690965.17150933252717811,26454969.88269702444578814
"GBR",3695599.410974486315610336,24548497.615152736318028647
"GEO",3144573.090796250693259322,6984457.386673213399268011
"GGY",1508.20499580802373833,8844.93755901556847726
"GHA",6955668.11695468140446004,23832413.12140803907272703
"GIB",119.85350947553392764,721.216465881726747135
"GIN",8159637.06972532598133879,24481606.68352878458699002
"GLP",94757.79385746914223394,165028.80176980555853013
"GMB",4562.45664965890549604,1067050.75194432580105374
"GNB",1069848.61390141290883817,3388205.00461434888428131
"GNQ",2654595.05549448691757924,2695935.33829355544449955
"GRC",3672496.92859033485831433,13257505.410982377611793365
"GRD",28534.39672515564517906,35953.33668168462375476
"GRL",0.0,12409768.809413071767975
"GTM",7693455.58401394309256973,10915098.49020755678045225
"GUF",8162751.08527681543396194,8330096.72653065181740074
"GUY",18996032.65975922399428477,20974416.13835077896107493
"HKG",62046.32394556394984795,112913.21583203727622457
"HND",7740481.98080378385910111,11228979.89758681939101443
"HRV",2431307.547132063419094172,5707840.168681549827828325
"HTI",858466.37960028283154354,2710683.58727079732509242
"HUN",1990161.06177650167275320,9305263.744427138834252040
"IDN",160641223.32647671941235931,189024469.02198098411743257
"IMN",13217.14962240807046126,57966.50957252323905163
"IND",38830351.46155859634502670,315279651.30504225457680355
"IRL",841570.768495551342369684,7036644.645938049610193521
"IRN",1731671.41946545711274329,162173902.839997188365711834
"IRQ",17504.25585700893051607,44535864.69401222440946818
"ISL",0.0,10222425.829558981922131
"ISR",29485.15502805993558284,2215883.36642860002757780
"ITA",9318960.444528171501802866,30075442.783973358297375404
"JAM",768439.99158160705655913,1099979.93279543526188057
"JEY",1549.97069756192992023,12512.55195693854881208
"JOR",2271.45974126752403646,8911879.30131099586790926
"JPN",26387254.411338151950687965,37240326.656746638941596760
